JobID	Arrival Time	Avg MT	Avg RT	Num MT	Num RT	Min MT	Max MT	Deadline
job0	49	100	20	1	6	95	105	125
job1	101	100	20	1	6	95	105	125
job2	122	100	20	1	6	95	105	125
job3	197	100	20	1	6	95	105	125
job4	208	100	20	1	6	95	105	125
job5	349	100	20	1	6	95	105	125
job6	373	100	20	1	6	95	105	125
job7	379	100	20	1	6	95	105	125
job8	463	100	20	1	6	95	105	125
job9	487	100	20	1	6	95	105	125
job10	497	100	20	1	6	95	105	125
job11	609	100	20	1	6	95	105	125
job12	666	100	20	1	6	95	105	125
job13	698	100	20	1	6	95	105	125
job14	724	100	20	1	6	95	105	125
job15	930	100	20	1	6	95	105	125
job16	1112	100	20	1	6	95	105	125
job17	1128	100	44	154	6	95	105	149
job18	1180	100	20	1	6	95	105	125
job19	1185	100	31.1372549	72	6	95	105	136.1372549
job20	1187	100	20	1	6	95	105	125
job21	1214	100	20	1	6	95	105	125
job22	1234	100	20	1	6	95	105	125
job23	1262	100	20	1	6	95	105	125
job24	1285	100	20	1	6	95	105	125
job25	1420	100	20	1	6	95	105	125
job26	1453	100	20	1	6	95	105	125
job27	1496	100	20	1	6	95	105	125
job28	1525	100	20	1	6	95	105	125
job29	1665	100	20	1	6	95	105	125
job30	1669	100	20	1	6	95	105	125
job31	1700	100	22.35294118	16	6	95	105	127.3529412
job32	1725	100	20	1	6	95	105	125
job33	1746	100	20	1	6	95	105	125
job34	1856	100	20	1	6	95	105	125
job35	1974	100	20	1	6	95	105	125
job36	1975	100	20	1	6	95	105	125
job37	1975	100	20	1	6	95	105	125
job38	1976	100	20	1	6	95	105	125
job39	1977	100	20	1	6	95	105	125
job40	1981	100	20	1	6	95	105	125
job41	2181	100	20	1	6	95	105	125
job42	2228	100	20	1	6	95	105	125
job43	2281	100	20.15686275	2	6	95	105	125.1568627
job44	2323	100	20	1	6	95	105	125
job45	2647	100	20	1	6	95	105	125
job46	2684	100	20	1	6	95	105	125
job47	2752	100	20	1	6	95	105	125
job48	2793	100	20	1	6	95	105	125
job49	2826	100	20	1	6	95	105	125
job50	2856	100	20	1	6	95	105	125
job51	2863	100	20	1	6	95	105	125
job52	2872	100	20	1	6	95	105	125
job53	2876	100	20	1	6	95	105	125
job54	2877	100	20	1	6	95	105	125
job55	2877	100	20	1	6	95	105	125
job56	2878	100	20	1	6	95	105	125
job57	2879	100	20	1	6	95	105	125
job58	2924	100	20	1	6	95	105	125
job59	2928	100	20	1	6	95	105	125
job60	2977	100	20	1	6	95	105	125
job61	3054	100	20	1	6	95	105	125
job62	3092	100	20	1	6	95	105	125
job63	3137	100	20	1	6	95	105	125
job64	3171	100	20	1	6	95	105	125
job65	3174	100	20	1	6	95	105	125
job66	3213	100	20	1	6	95	105	125
job67	3263	100	20	1	6	95	105	125
job68	3316	100	20	1	6	95	105	125
job69	3352	100	44	154	6	95	105	149
job70	3392	100	20	1	6	95	105	125
job71	3418	100	20	1	6	95	105	125
job72	3450	100	20	1	6	95	105	125
job73	3475	100	20	1	6	95	105	125
job74	3476	100	20	1	6	95	105	125
