
========== OUTPUT ==========
TaskID	JobID	STATUS	DatacenterID	SlotID	Time	Start Time	Finish Time
0	0	MAP	SUCCESS	2	12800	101	49	150
1	0	REDUCE	SUCCESS	2	12802	20	150	170
2	0	REDUCE	SUCCESS	2	12803	20	150	170
3	0	REDUCE	SUCCESS	2	12806	20	150	170
4	0	REDUCE	SUCCESS	2	12807	20	150	170
5	0	REDUCE	SUCCESS	2	12810	20	150	170
6	0	REDUCE	SUCCESS	2	12811	20	150	170
14	2	MAP	SUCCESS	2	12801	101	122	223
15	2	REDUCE	SUCCESS	2	12802	19.25	223	242.25
16	2	REDUCE	SUCCESS	2	12803	19.25	223	242.25
17	2	REDUCE	SUCCESS	2	12806	19.25	223	242.25
18	2	REDUCE	SUCCESS	2	12807	19.25	223	242.25
19	2	REDUCE	SUCCESS	2	12810	19.25	223	242.25
20	2	REDUCE	SUCCESS	2	12811	19.25	223	242.25
21	3	MAP	SUCCESS	2	12800	95.25	197	292.25
28	4	MAP	SUCCESS	2	12804	97.25	208	305.25
22	3	REDUCE	SUCCESS	2	12802	19.75	292.25	312
23	3	REDUCE	SUCCESS	2	12803	19.75	292.25	312
24	3	REDUCE	SUCCESS	2	12806	19.75	292.25	312
25	3	REDUCE	SUCCESS	2	12807	19.75	292.25	312
26	3	REDUCE	SUCCESS	2	12810	19.75	292.25	312
27	3	REDUCE	SUCCESS	2	12811	19.75	292.25	312
29	4	REDUCE	SUCCESS	2	12814	19.75	305.25	325
30	4	REDUCE	SUCCESS	2	12815	19.75	305.25	325
31	4	REDUCE	SUCCESS	2	12818	19.75	305.25	325
32	4	REDUCE	SUCCESS	2	12819	19.75	305.25	325
33	4	REDUCE	SUCCESS	2	12822	19.75	305.25	325
34	4	REDUCE	SUCCESS	2	12823	19.75	305.25	325
7	1	MAP	SUCCESS	2	12805	97.75	233.25	331
8	1	REDUCE	SUCCESS	2	12802	19.25	331	350.25
9	1	REDUCE	SUCCESS	2	12803	19.25	331	350.25
10	1	REDUCE	SUCCESS	2	12806	19.25	331	350.25
11	1	REDUCE	SUCCESS	2	12807	19.25	331	350.25
12	1	REDUCE	SUCCESS	2	12810	19.25	331	350.25
13	1	REDUCE	SUCCESS	2	12811	19.25	331	350.25
35	5	MAP	SUCCESS	2	12808	97.25	349	446.25
36	5	REDUCE	SUCCESS	2	12814	19.75	446.25	466
37	5	REDUCE	SUCCESS	2	12815	19.75	446.25	466
38	5	REDUCE	SUCCESS	2	12818	19.75	446.25	466
39	5	REDUCE	SUCCESS	2	12819	19.75	446.25	466
40	5	REDUCE	SUCCESS	2	12822	19.75	446.25	466
41	5	REDUCE	SUCCESS	2	12823	19.75	446.25	466
49	7	MAP	SUCCESS	2	12809	99.25	379	478.25
50	7	REDUCE	SUCCESS	2	12802	19.75	478.25	498
51	7	REDUCE	SUCCESS	2	12803	19.75	478.25	498
52	7	REDUCE	SUCCESS	2	12806	19.75	478.25	498
53	7	REDUCE	SUCCESS	2	12807	19.75	478.25	498
54	7	REDUCE	SUCCESS	2	12810	19.75	478.25	498
55	7	REDUCE	SUCCESS	2	12811	19.75	478.25	498
56	8	MAP	SUCCESS	2	12801	96.25	463	559.25
57	8	REDUCE	SUCCESS	2	12814	19.75	559.25	579
58	8	REDUCE	SUCCESS	2	12815	19.75	559.25	579
59	8	REDUCE	SUCCESS	2	12818	19.75	559.25	579
60	8	REDUCE	SUCCESS	2	12819	19.75	559.25	579
61	8	REDUCE	SUCCESS	2	12822	19.75	559.25	579
62	8	REDUCE	SUCCESS	2	12823	19.75	559.25	579
63	9	MAP	SUCCESS	2	12800	96.25	487	583.25
70	10	MAP	SUCCESS	2	12804	103.25	497	600.25
