
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
200	ONDEMAND	0.07	3315.73	0.07
202	ONDEMAND	0.07	3315.73	0.07
203	ONDEMAND	0.07	3312.73	0.07
204	ONDEMAND	0.07	3312.73	0.07
205	ONDEMAND	0.07	3312.73	0.07
206	ONDEMAND	0.07	3292	0.07
207	ONDEMAND	0.07	3292	0.07
208	ONDEMAND	0.07	3292	0.07
209	ONDEMAND	0.07	3292	0.07
210	ONDEMAND	0.07	3292	0.07
211	ONDEMAND	0.07	3292	0.07
212	ONDEMAND	0.07	3292	0.07
213	ONDEMAND	0.07	3292	0.07
214	ONDEMAND	0.07	3292	0.07
215	ONDEMAND	0.07	3292	0.07
217	ONDEMAND	0.07	3292	0.07
219	ONDEMAND	0.07	3292	0.07
220	ONDEMAND	0.07	3292	0.07
221	ONDEMAND	0.07	3292	0.07
222	ONDEMAND	0.07	3264	0.07
223	ONDEMAND	0.07	3264	0.07
224	ONDEMAND	0.07	3264	0.07
225	ONDEMAND	0.07	3264	0.07
226	ONDEMAND	0.07	3264	0.07
227	ONDEMAND	0.07	3264	0.07
228	ONDEMAND	0.07	3264	0.07
229	ONDEMAND	0.07	3264	0.07
230	ONDEMAND	0.07	3264	0.07
231	ONDEMAND	0.07	3264	0.07
232	ONDEMAND	0.07	3264	0.07
233	ONDEMAND	0.07	3264	0.07
234	ONDEMAND	0.07	3264	0.07
235	ONDEMAND	0.07	3264	0.07
236	ONDEMAND	0.07	3264	0.07
237	ONDEMAND	0.07	3264	0.07
238	ONDEMAND	0.07	3264	0.07
239	ONDEMAND	0.07	3264	0.07
240	ONDEMAND	0.07	3264	0.07
241	ONDEMAND	0.07	3264	0.07
242	ONDEMAND	0.07	3264	0.07
243	ONDEMAND	0.07	3264	0.07
244	ONDEMAND	0.07	3264	0.07
245	ONDEMAND	0.07	3264	0.07
246	ONDEMAND	0.07	3264	0.07
247	ONDEMAND	0.07	3264	0.07
248	ONDEMAND	0.07	3264	0.07
249	ONDEMAND	0.07	3264	0.07
250	ONDEMAND	0.07	3264	0.07
